H7N7|A/duck/Shimane/18/2006|2006,-0.12741491041009598,-0.2516763525139798
H7N3|A/duck/Jiangxi/16285/2010|2010,-0.12326329533402876,-0.24886229084667325
H7N7|A/duck/Hunan/S1161/2010|04/19/2010,-0.11856366038587407,-0.25345393804436545
H7N3|A/duck/Jiangxi/19521/2009|2009,-0.12337053373709636,-0.25281785920600824
H7N3|A/duck/Jiangxi/8032/2009|2009,-0.12214012496966262,-0.25109216635740916
H7N7|A/wild_waterfowl/Hong_Kong/MPM2121/2011|2011,-0.11990071251125704,-0.2532531509464817
H7N6|A/duck/Jiangxi/25134/2009|2009,-0.12088709166893831,-0.25267432212497015
H7N3|A/duck/Jiangxi/9711/2009|2009,-0.1217805525671299,-0.2533517565841612
H7N7|A/wild_duck/Korea/MHC40_28/2010|03/2010,-0.11649045047606699,-0.25497231721417435
H7N7|A/duck/Jiangxi/23008/2009|2009,-0.12350568031703184,-0.2465163078694499
H7N7|A/duck/Chiba/20/2009|2009,-0.11973945658017868,-0.2521997696333906
H7N7|A/lesser_white_fronted_goose/HuNan/412_3Y/2010|10/2010,-0.11716372422078788,-0.25647748485748706
H7N7|A/duck/Tsukuba/700/2007|2007,-0.1225332372768393,-0.25131041857678177
H7N7|A/Mallard/Sweden/82/02|2002,-0.13055636385645117,-0.25155798728998674
H7N7|A/mallard/Sweden/3269/2003|09/04/2003,-0.12939372955950917,-0.2536497110410274
H7N7|A/mallard/Sweden/2051/2003|09/26/2003,-0.12892428583973403,-0.25336153533986466
H7N7|A/mallard/Sweden/3331/2003|09/18/2003,-0.13077647800234424,-0.2560037845498204
H7N7|A/mallard/Sweden/2027/2003|09/24/2003,-0.1283428470944342,-0.25390954322008885
H7N7|A/mallard/Sweden/1689/2002|12/15/2002,-0.130035328294769,-0.24955632247948994
H7N7|A/Mallard/Sweden/93/02|2002,-0.12868810267540515,-0.2510113117253024
H7N7|A/mallard/Sweden/1690/2002|12/15/2002,-0.12922630098478677,-0.2498078154357845
H7N7|A/mallard/Sweden/85/2002|2002,-0.130084153376865,-0.25191496896991716
H7N7|A/Mallard/Sweden/92/02|2002,-0.1309522308269648,-0.24910078415515088
H7N7|A/mallard_duck/Netherlands/6/2009|02/02/2009,-0.12074071701751006,-0.2565674735068497
H7N7|A/mallard_duck/Netherlands/2/2009|01/09/2009,-0.12008022111255434,-0.2589060113916309
H7N7|A/shoveler/Italy/2698_3/2006|01/18/2006,-0.1245814988056428,-0.25549662073820306
H7N2|A/duck/Italy/4609/2003|2003,-0.13520353606036428,-0.2592867841443939
H7N3|A/turkey/Italy/2684/2003|2003,-0.1300530981793467,-0.25370239454060656
H7N3|A/turkey/Italy/2685/2003|2003,-0.13127513881666078,-0.25604592587682
H7N3|A/turkey/Italy/2043/2003|2003,-0.12948247638601953,-0.25640649936182086
H7N3|A/turkey/Italy/97500/03|2003,-0.1282592732503957,-0.2521288117369645
H7N3|A/chicken/Italy/682/2003|2003,-0.12994085460469243,-0.25543408533029566
